Periodo,IAI,TDU,M,CONF_MAN,IPC,TC,TIIE_28,SP_500,IPI_EUA,ANTAD,PROD_VEH, OCUP_HOT ,GASOLINAS,IMSS,REMESAS,M4,X,PEDIDOS_MANU,IGAE,IMEF,INPC,PRECIO,U_US,TOTAL_NONFARM,TOTAL_CONSTR,TOTAL_MANUF,TOTAL_SERV,MANUF_USA
2005/01,93.32201546,4.493663676,17715.89962,40.7591998,13097.12,11.26067419,8.968333333,1181.27002,95.9285,74.27195946,97025,82.4,632.488645,12697125,1367.5563,2779.174451,16375.90199,50.81220581,84.6,55.77169991,58.30916037,31.94055556,5.3,132778,7095,14257,89084,97.9992
2005/02,93.46070163,4.684742323,17682.02703,41.40394006,13789.46,11.14702857,9.467,1203.599976,96.6287,59.72206503,131553,87.5,659.1220557,12788890,1428.377,2771.518908,16706.82719,52.21196388,84.8,56.57521573,58.50343099,32.84058824,5.4,133033,7153,14273,89253,98.9195
2005/03,93.22249158,4.873268899,17503.22571,41.87498404,12676.9,11.13873548,9.777,1180.589966,96.4907,66.86115918,120039,87.4,681.8303618,12799019,1691.5896,2792.831721,16721.594,51.86724138,84.6,56.59108055,58.76712098,38.11473684,5.2,133153,7181,14269,89347,98.4306
2005/04,93.575456,4.599642419,17994.76966,43.36967649,12322.99,11.12668667,10.01428571,1156.849976,96.6809,67.12844825,141059,81.8,666.0531192,12852756,1753.3032,2793.41806,17492.95046,53.67425851,85.0,53.90763112,58.97641519,39.84,5.2,133516,7266,14250,89626,98.8366
2005/05,95.07817465,5.05381775,17746.98817,42.74402641,12964.39,10.98908387,10.12227273,1191.5,96.7925,71.40116871,136441,77.6,664.9803928,12884166,2057.2773,2789.241738,17238.27639,48.72411726,85.4,54.23623598,58.82825146,39.64157895,5.1,133687,7294,14256,89734,99.1139
2005/06,93.47183573,4.660327605,18193.04577,44.63423632,13486.13,10.83101667,10.01,1191.329956,97.19,69.34277116,133478,79.7,687.4759877,12911021,1923.2802,2844.573683,17911.39132,51.56719056,84.7,55.95087164,58.77178347,44.10545455,5,133940,7333,14227,89992,99.3489
2005/07,91.53270948,4.700291503,18266.21927,44.15103797,14409.66,10.69057097,10.0147619,1234.180054,96.8981,80.96817537,102788,75.2,653.4838665,12904401,1840.3006,2879.277886,17183.67077,51.69236864,84.9,56.80688895,59.00179988,45.7975,5,134297,7353,14226,90235,99.0157
2005/08,94.42445662,4.809245238,18388.47366,42.85214138,14243.19,10.66766452,9.984347826,1220.329956,97.2223,75.1857943,155642,76.2,687.8465226,13014610,2059.2229,2882.81312,17912.5403,48.53718657,86.0,55.18596524,59.07225536,50.3255,4.9,134495,7394,14203,90405,99.5702
2005/09,94.26875335,4.381392412,18451.75378,44.29914633,16120.08,10.78028333,9.649285714,1228.810059,95.3463,73.1072528,152128,61.3,691.0460672,13114254,1885.9905,2936.753831,18239.60106,52.2012679,86.0,54.74257223,59.30900649,51.48142857,5,134551,7415,14175,90480,98.4303
2005/10,94.56746668,4.291129545,19291.949,45.25909981,15759.73,10.83860968,9.408452381,1207.01001,96.4981,74.1795159,175474,52.3,662.2290538,13234501,1862.2776,2999.144845,18744.08064,52.98066621,86.3,55.1308288,59.45457994,48.2352381,5,134644,7460,14192,90523,99.9001
